sample_id,orig_index,tissue_name,gt_instance_count,gt_empty,legacy_test_sample_id,E1_disposition,E2_disposition,E3_disposition
fold3_0000236,236,Breast,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0000546,546,Breast,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0000735,735,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0000754,754,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0000762,762,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0000778,778,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0000780,780,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0000784,784,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001016,1016,Thyroid,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001076,1076,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001078,1078,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001079,1079,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001083,1083,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001084,1084,Cervix,1,0,NOT_FOUND,NOT_EVALUATED_MISSING_PREDICTION,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001085,1085,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001088,1088,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001307,1307,Testis,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001438,1438,Adrenal Gland,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001506,1506,Bile Duct,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001507,1507,Bile Duct,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001508,1508,Bile Duct,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001509,1509,Bile Duct,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001510,1510,Bile Duct,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001511,1511,Bile Duct,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001518,1518,Bile Duct,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001519,1519,Bile Duct,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001523,1523,Bile Duct,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001566,1566,Bladder,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001567,1567,Bladder,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001568,1568,Bladder,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001569,1569,Bladder,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001570,1570,Bladder,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001571,1571,Bladder,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001572,1572,Bladder,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001611,1611,Breast,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001635,1635,Breast,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001636,1636,Breast,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001645,1645,Breast,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001646,1646,Breast,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001647,1647,Breast,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001648,1648,Breast,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001664,1664,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001665,1665,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001666,1666,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001667,1667,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001668,1668,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001669,1669,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001670,1670,Cervix,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001743,1743,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001757,1757,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001777,1777,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001779,1779,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001780,1780,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001797,1797,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001803,1803,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001804,1804,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001805,1805,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001832,1832,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001833,1833,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001834,1834,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001835,1835,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001836,1836,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001837,1837,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001838,1838,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001839,1839,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001840,1840,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001841,1841,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001842,1842,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001843,1843,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001844,1844,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001845,1845,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001846,1846,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001847,1847,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001848,1848,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001849,1849,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001850,1850,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001851,1851,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001852,1852,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001853,1853,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001854,1854,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001855,1855,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001856,1856,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001857,1857,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001858,1858,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001859,1859,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001860,1860,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001861,1861,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001862,1862,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001894,1894,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001896,1896,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001897,1897,Colon,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001987,1987,Head & Neck,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001988,1988,Head & Neck,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001989,1989,Head & Neck,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001990,1990,Head & Neck,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
fold3_0001991,1991,Head & Neck,0,1,NOT_FOUND,SKIP_EMPTY_GT,NOT_EVALUATED_MISSING_PREDICTION,OUTSIDE_OLD_TEST_INTERSECTION
