sample_id,legacy_test_sample_id,orig_index,tissue_name,gt_instance_count,gt_empty,density_bin,prediction_status,included_E1,included_E2,included_E3,pred_instance_count,bpq,dq,sq,aji_kumar,aji_plus,dice,tp,fp,fn,matched_iou_sum,fn_merged,fn_complex,fn_true_miss,fn_low_iou,fp_split,fp_complex,fp_spurious,fp_low_iou
fold3_0000000,sa_0004946,0,Breast,13,0,"[10,25)",AVAILABLE,1,1,1,12,0.5649596361546775,0.72,0.7846661613259409,0.6801758425790245,0.6925865346359578,0.8540012536564981,9,3,4,7.0619962365996285,2,0,1,1,1,0,0,2
fold3_0000001,sa_0004947,1,Breast,8,0,"[1,10)",AVAILABLE,1,1,1,9,0.7271042162110437,0.9411764705882353,0.772548229724234,0.7796980343747033,0.7796980343747033,0.8762138512431971,8,1,0,6.180386610342101,0,0,0,0,0,0,1,0
fold3_0000002,sa_0004948,2,Breast,11,0,"[10,25)",AVAILABLE,1,1,1,13,0.4390632638105603,0.5833333333333334,0.7526798808181033,0.43671875,0.43671875,0.6766962721285723,7,6,4,5.268759918406604,0,0,1,3,4,0,1,1
fold3_0000003,sa_0004949,3,Breast,11,0,"[10,25)",AVAILABLE,1,1,1,9,0.5137685260227368,0.6,0.8562808767045614,0.6195559350982066,0.6195559350982066,0.7650935934616399,6,3,5,5.137686116508245,0,0,4,1,0,0,2,1
fold3_0000004,sa_0004950,4,Breast,11,0,"[10,25)",AVAILABLE,1,1,1,8,0.555771071747742,0.631578947368421,0.8799708636005915,0.7222787994967951,0.7222787994967951,0.8387478260869565,6,2,5,5.279826061574413,0,0,3,2,0,0,0,2
fold3_0000005,sa_0004951,5,Breast,14,0,"[10,25)",AVAILABLE,1,1,1,11,0.6267795551625452,0.72,0.8705271599479795,0.7100079218378664,0.7100079218378664,0.8304147750084931,9,2,5,7.834745310058975,0,0,5,0,0,0,2,0
fold3_0000006,sa_0004952,6,Breast,8,0,"[1,10)",AVAILABLE,1,1,1,7,0.6388455467461251,0.8,0.7985569334326564,0.7256999772365126,0.7256999772365126,0.8791276436705799,6,1,2,4.791342399152872,0,0,2,0,1,0,0,0
fold3_0000007,sa_0004953,7,Breast,10,0,"[10,25)",AVAILABLE,1,1,1,5,0.5590070674572382,0.6666666666666666,0.8385106011858573,0.5125196264771507,0.5125196264771507,0.6777031087799814,5,0,5,4.192553844439888,0,0,5,0,0,0,0,0
fold3_0000008,sa_0004954,8,Breast,13,0,"[10,25)",AVAILABLE,1,1,1,13,0.6350829047146673,0.7692307692307693,0.8256077761290674,0.6744778761061947,0.6744778761061947,0.8055978352782006,10,3,3,8.25607858689845,0,0,2,1,0,0,2,1
fold3_0000009,sa_0004955,9,Breast,11,0,"[10,25)",AVAILABLE,1,1,1,12,0.5815032214390604,0.6956521739130435,0.8359108808186494,0.640867135235837,0.640867135235837,0.8519378644785054,8,4,3,6.687287882460075,0,0,2,1,3,0,1,0
