method,protocol,dimension,bin,sample_count,gt_instance_count,bpq,aji_kumar,dice,r_merge,r_miss,coverage_rate,metric_scope
visual,E1,gt_density,"[0,1)",0,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,0.0,0.0,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,gt_density,"[1,10)",405,2238,0.5622746827026659,0.5876861438071578,0.737290641716506,0.17231638418079095,0.7090395480225988,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,gt_density,"[10,25)",1133,19125,0.5876826568463387,0.6025177746341871,0.8026772303683893,0.2688999547306474,0.5972536592726724,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,gt_density,"[25,50)",849,28688,0.5839998132139312,0.5808506313823454,0.8440056560459736,0.367552790346908,0.43674585218702866,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,gt_density,"[50,+inf)",220,16602,0.5115243661610922,0.49365114979119523,0.8323459191878682,0.39917055469155005,0.3251684810782789,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Adrenal Gland,154,2346,0.575373459509846,0.5809374844106824,0.7316893831775222,0.18544600938967137,0.7511737089201878,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Bile Duct,149,3520,0.6119871076637583,0.6233271301659459,0.8245938274122603,0.3494967978042086,0.5315645013723697,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Bladder,57,1242,0.6375218592185763,0.6485998816661831,0.8329289983306817,0.3157894736842105,0.5815789473684211,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Breast,766,16404,0.5977930287797775,0.616722814992887,0.8243888523675169,0.29621342512908777,0.5371772805507745,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Cervix,72,2233,0.6473005221443641,0.6472413710599736,0.8409272198916836,0.3607305936073059,0.5144596651445966,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Colon,443,11819,0.4922246879214611,0.5019593025814718,0.7800687163586485,0.39496679482698355,0.3220901782593499,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Esophagus,141,3315,0.5457435958613941,0.5493117914962319,0.8055628656915489,0.32432432432432434,0.3981542518127884,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Head & Neck,128,3314,0.5292348708601072,0.530355939319716,0.7254537561110002,0.3272146847565842,0.5227454110135674,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Kidney,38,1134,0.6282961775912853,0.6378962764559674,0.849607499760381,0.42572062084257206,0.328159645232816,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Liver,93,2102,0.6583000766207144,0.6615155320958855,0.8344629492249294,0.23478260869565218,0.6817391304347826,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Lung,51,2093,0.5829791682240983,0.5990151704639494,0.8088009912864081,0.20120481927710843,0.7132530120481928,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Ovarian,52,1443,0.5404747695392245,0.5308063646717339,0.8438300509212737,0.40365448504983387,0.3239202657807309,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Pancreatic,28,730,0.6061983949145684,0.6055444055606867,0.8503427347137278,0.4769874476987448,0.39330543933054396,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Prostate,66,1644,0.6083405677777053,0.5995933187851683,0.8290022366625365,0.34296028880866425,0.45306859205776173,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Skin,41,1585,0.5238227035884697,0.5207237168864681,0.7578621305296327,0.4273789649415693,0.31719532554257096,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Stomach,48,1804,0.6465069592989848,0.6420970823728266,0.8664379530341324,0.47368421052631576,0.39728353140916806,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Testis,56,1356,0.6366459029409216,0.6352765227990103,0.8363922579678563,0.3707093821510298,0.5194508009153318,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Thyroid,61,1396,0.6517109933728873,0.6495245463448062,0.8498386964788518,0.3524804177545692,0.46475195822454307,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,tissue,Uterus,163,7173,0.5555128218631664,0.5434060354627912,0.8329350814613542,0.39473684210526316,0.3523748395378691,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E1,gt_area,"[1,10)",690,889,0.0,0.0002509449608155954,NOT_APPLICABLE_INSTANCE_STRATUM,0.09111361079865017,0.8638920134983127,0.1361079865016873,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
